Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Location,Device_Used,Time_of_Transaction,Fraudulent
1,4174,3154.22,POS Payment,San Francisco,Tablet,2024-01-01 00:00:00,0
2,4507,2278.79,ATM Withdrawal,Houston,Desktop,2024-01-01 00:01:00,0
3,1860,2410.6,Online Purchase,Chicago,Tablet,2024-01-01 00:02:00,0
4,2294,3789.13,Online Purchase,Chicago,Mobile,2024-01-01 00:03:00,0
5,2130,1410.31,ATM Withdrawal,Los Angeles,Mobile,2024-01-01 00:04:00,0
6,2095,1590.88,ATM Withdrawal,Houston,Tablet,2024-01-01 00:05:00,0
7,4772,4623.28,Online Purchase,New York,Tablet,2024-01-01 00:06:00,0
8,4092,282.07,Online Purchase,Los Angeles,Mobile,2024-01-01 00:07:00,0
9,2638,2428.69,ATM Withdrawal,Houston,Desktop,2024-01-01 00:08:00,0
10,3169,4564.09,Online Purchase,San Francisco,Tablet,2024-01-01 00:09:00,0
11,1466,3052.2,Online Purchase,Houston,Desktop,2024-01-01 00:10:00,0
12,2238,2732.49,ATM Withdrawal,San Francisco,Desktop,2024-01-01 00:11:00,0
13,1330,1249.47,ATM Withdrawal,San Francisco,Tablet,2024-01-01 00:12:00,0
14,2482,1717.03,Bank Transfer,Chicago,Desktop,2024-01-01 00:13:00,0
15,3135,4260.39,POS Payment,New York,Mobile,2024-01-01 00:14:00,0
16,4444,2796.53,ATM Withdrawal,Houston,Desktop,2024-01-01 00:15:00,0
17,4171,2574.2,ATM Withdrawal,New York,Mobile,2024-01-01 00:16:00,0
18,3919,498.8,ATM Withdrawal,San Francisco,Tablet,2024-01-01 00:17:00,0
19,4735,81.12,POS Payment,Chicago,Desktop,2024-01-01 00:18:00,0
20,1130,4818.46,Bank Transfer,New York,Mobile,2024-01-01 00:19:00,0
21,2685,1885.55,Online Purchase,Los Angeles,Mobile,2024-01-01 00:20:00,0
22,4380,3016.46,POS Payment,San Francisco,Tablet,2024-01-01 00:21:00,0
23,1769,399.5,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 00:22:00,0
24,3391,3415.89,ATM Withdrawal,New York,Mobile,2024-01-01 00:23:00,0
25,2515,4662.9,Bank Transfer,New York,Mobile,2024-01-01 00:24:00,0
26,4485,2878.75,Bank Transfer,New York,Tablet,2024-01-01 00:25:00,0
27,3853,631.45,Bank Transfer,Houston,Desktop,2024-01-01 00:26:00,0
28,3433,2909.03,Online Purchase,San Francisco,Desktop,2024-01-01 00:27:00,0
29,2215,3831.97,POS Payment,San Francisco,Mobile,2024-01-01 00:28:00,0
30,1955,2032.68,POS Payment,San Francisco,Desktop,2024-01-01 00:29:00,0
31,3324,4399.31,Bank Transfer,Houston,Desktop,2024-01-01 00:30:00,0
32,2184,3243.77,Online Purchase,New York,Desktop,2024-01-01 00:31:00,0
33,1459,4496.35,POS Payment,New York,Desktop,2024-01-01 00:32:00,0
34,4385,3117.9,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 00:33:00,0
35,1021,657.31,ATM Withdrawal,Houston,Desktop,2024-01-01 00:34:00,0
36,3300,1549.15,ATM Withdrawal,Chicago,Desktop,2024-01-01 00:35:00,0
37,1747,1009.77,POS Payment,Houston,Mobile,2024-01-01 00:36:00,0
38,3904,4544.22,Bank Transfer,Los Angeles,Mobile,2024-01-01 00:37:00,1
39,4632,3802.24,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 00:38:00,0
40,1474,3382.32,Bank Transfer,Los Angeles,Desktop,2024-01-01 00:39:00,0
41,2082,1505.53,Online Purchase,New York,Tablet,2024-01-01 00:40:00,0
42,3558,921.04,ATM Withdrawal,Chicago,Mobile,2024-01-01 00:41:00,0
